ActivityId,Date,Type,RouteName,Distance(km),Duration,AveragePace,AverageSpeed(km/h),CaloriesBurned,Climb(m),AverageHeartRate(bpm),Friend'sTagged,Notes,GPXFile
6a695ba3-48b7-49f1-a7e9-8e9ca1f2b1ed,23/07/2024 18:10,Running,,9.97,59:32:00,05:58,10.05,784,121,,,,2024-07-23-181043.gpx
9d6f6e43-722e-41a5-8919-471363a76fb4,20/07/2024 18:23,Running,,6.84,37:37:00,05:30,10.92,535,67,,,,2024-07-20-182354.gpx
10a3bb6c-039b-461a-9fbd-ad95bb3cc8fe,19/07/2024 17:33,Running,,6.86,43:15:00,06:18,9.52,539,67,,,,2024-07-19-173344.gpx
37fd5dbd-4f67-4643-80a9-7247e5df789e,17/07/2024 17:49,Running,,9.97,55:18:00,05:33,10.81,786,121,,,,2024-07-17-174906.gpx
8f08d42e-39e6-48e9-9462-43a7919f2630,15/07/2024 17:54,Running,,14.61,01:38:44,06:45,8.88,1167,153,,,,2024-07-15-175409.gpx
f841fa3e-da09-4e1e-be23-aea4e2fa349f,12/07/2024 17:27,Running,,10.01,56:42:00,05:40,10.59,788,120,,,,2024-07-12-172728.gpx
1349eef0-9138-41f3-a2bd-8472ab6a0170,10/07/2024 17:48,Running,,10,55:59:00,05:36,10.71,787,120,,,,2024-07-10-174830.gpx
019902e9-c892-42c3-b1ab-6e3fc14d04ca,08/07/2024 17:58,Running,,12.59,01:24:27,06:43,8.94,998,133,,,,2024-07-08-175800.gpx
ad8f3813-0a1e-4597-8897-7b717d1a7ea2,06/07/2024 16:57,Running,,10.08,57:49:00,05:44,10.46,794,120,,,,2024-07-06-165728.gpx
fafd3b2d-2e11-4152-b734-de5ea2774445,03/07/2024 17:45,Running,,16.95,01:37:33,05:45,10.43,1333,203,,,,2024-07-03-174505.gpx
d59dbc26-b07e-4cbd-a552-4085babf81a0,01/07/2024 17:17,Running,,6.86,42:04:00,06:08,9.78,538,68,,,,2024-07-01-171745.gpx
3941f08f-2362-4814-b5ea-79c7da73437d,30/06/2024 17:42,Running,,7.13,46:01:00,06:27,9.3,558,65,,,,2024-06-30-174217.gpx
6e052e7f-366b-420c-b11c-ea18d50ae3cc,24/06/2024 17:59,Running,,8.12,47:04:00,05:48,10.35,634,76,,,,2024-06-24-175927.gpx
187aba4f-0a9c-4760-b0de-989ab3baa822,19/06/2024 18:05,Running,,6.87,45:01:00,06:33,9.15,537,67,,,,2024-06-19-180501.gpx
6a8cc671-7b16-4bd5-b84e-d10c5b9bad5c,17/06/2024 18:35,Running,,10.22,55:48:00,05:28,10.99,799,102,,,,2024-06-17-183552.gpx
398abd2d-1460-4d0d-ba6e-e7be17ead703,15/06/2024 15:53,Cycling,,33.37,02:26:09,04:23,13.7,905,321,,,,2024-06-15-155347.gpx
3e4b7355-f107-4c50-a597-283ef24cac11,13/06/2024 18:40,Running,,5.9,35:01:00,05:56,10.11,449,51,,,,2024-06-13-184027.gpx
0a00fc13-f90d-485b-856a-afbe319fa02d,11/06/2024 17:38,Running,,6.91,39:50:00,05:46,10.41,539,68,,,,2024-06-11-173834.gpx
5f2d87fe-34fb-4cec-9bce-3d1bd2e4f94e,09/06/2024 09:30,Running,,21.8,02:10:22,05:59,10.03,1733,480,,,,2024-06-09-093003.gpx
3c586385-f5c7-494b-9520-4ee8f78cbf32,02/06/2024 18:27,Running,,6.52,38:34:00,05:55,10.14,510,62,,,,2024-06-02-182739.gpx
631ced2a-3e74-47bf-9280-771eb3bdd9ab,30/05/2024 17:44,Running,,17.33,01:44:52,06:03,9.92,1366,211,,,,2024-05-30-174418.gpx
7a429a6c-40a7-4b11-83f4-486077db4f53,27/05/2024 09:08,Running,,2.33,01:52:46,48:25:00,1.24,412,393,,,,2024-05-27-090800.gpx
e4cbb12c-aba8-43da-af0c-d7390f57ec0c,26/05/2024 17:08,Running,,8.4,01:07:10,08:00,7.51,629,55,,,,2024-05-26-170801.gpx
